the  la
overflow  débordement
shoreline  littoral
dreadful  terrible
twitch  tic
brigade  la brigade
elegance  élégance
aesthetics  esthétique
paramount  primordial
sponge  éponge
carton  carton
suffice  suffire
engender  engendrer
(glamor)  (charme)
artisan  artisan
needless  inutile
inconsistency  incohérence
limo  limousine
towering  imposant
burgeoning  en plein essor
dissertation  thèse
asparagus  asperges
powerless  impuissant
terminology  terminologie
preferably  de préférence
cracked  fissuré
shriek  cri
opaque  opaque
nausea  la nausée
optics  optique
menace  menace
cactus  cactus
horseback  à cheval
numb  engourdi
fridge  réfrigérateur
rewarding  récompense
hastily  hâtivement
editing  édition
academically  académiquement
socialization  socialisation
falter  vaciller
fuss  s'agiter
warden  directeur
amazement  stupéfaction
famously  communément
orchid  orchidée
pluralism  pluralisme
pouch  poche
miraculous  miraculeux
crackdown  répression
humiliate  humilier
willingly  volontiers
gravitational  gravitationnel
unnoticed  inaperçu
hebrew  hébreu
racially  racialement
cherokee  cherokee
tyranny  tyrannie
breadth  largeur
vividly  vivement
heavenly  céleste
scurry  se précipiter
gangster  bandit
sterile  stérile
orphanage  orphelinat
multilateral  multilatéral
extinct  disparu
(saudi)  (saoudien)
cupboard  armoire
impetus  élan
networking  la mise en réseau
muted  en sourdine
plump  dodu
twenty-one  vingt-et-un
one-half  une moitié
lad  garçon
unilateral  unilatéral
gorilla  gorille
satin  satin
assimilation  assimilation
residency  résidence
asshole  connard
cloning  clonage
caring  bienveillance
futile  futile
hanging  suspendu
cultivation  cultivation
salty  salé
posit  postuler
cutter  coupeur
bowel  intestin
idol  idole
reshape  remodeler
refinery  raffinerie
conspicuous  visible
self-determination  autodétermination
accused  accusé
tenor  ténor
ordinarily  ordinairement
stud  goujon
emptiness  vide
one-way  une manière
platoon  section
hustle  bousculer
barefoot  pieds nus
invasive  envahissant
state-of-the-art  l'état de l'art
upbeat  optimiste
ruthless  impitoyable
placebo  placebo
outlaw  hors la loi
cripple  paralyser
ballad  ballade
braid  tresser
shady  ombragé
losing  perdant
footing  pied
waver  vaciller
man-made  fabriqué par l'homme
salient  saillant
carcass  carcasse
motorist  automobiliste
screenplay  scénario
radius  rayon
solving  résoudre
banish  bannir
magician  magicien
prophecy  prophétie
broom  balais
candid  candide
trendy  branché
ecstasy  extase
unison  unisson
unthinkable  impensable
bestow  donner
assimilate  assimiler
beet  betterave
bandage  bandage
intimidating  intimidant
fairway  fairway
gloom  obscurité
framed  encadré
misconception  idée fausse
lining  doublure
hoist  hisser
waiver  renoncer
tangle  enchevêtrement
rearrange  réarranger
undertaking  entreprise
flier  prospectus
hasten  accélérer
digest  digérer
jagged  déchiqueté
counting  compte
prolong  prolonger
doughnut  donut
dysfunction  dysfonctionnement
relinquish  renoncer
commence  commencer
hesitant  hésitant
flurry  rafale
apprehension  appréhension
clog  sabot
medium-high  moyen-élevé
dismal  lugubre
noteworthy  remarquable
plume  plume
sweetness  douceur
algae  algues
infantry  infanterie
unmarried  célibataire
cut-off  couper
sloppy  négligent
transcribe  transcrire
predicament  situation difficile
sinus  sinus
garnish  garnir
override  passer outre
notch  entailler
one-on-one  tête-à-tête
forty-five  quarante cinq
attentive  attentif
perish  périr
tangled  emmêlé
donkey  âne
healer  guérisseur
dealership  concession
blueberry  myrtille
vicinity  environs
humility  humilité
pleasing  plaisant
televised  télévisé
caffeine  caféine
locus  lieu
anthem  hymne
stuck  bloqué
vanity  vanité
mango  mangue
bulky  volumineux
limp  boiter
motionless  immobile
tickle  chatouiller
biotechnology  biotechnologie
bony  osseux
scour  parcourir
wizard  sorcier
freshwater  eau fraiche
traveling  en voyageant
dilute  diluer
billionaire  milliardaire
kite  cerf-volant
compress  compresse
waterway  voie navigable
jockey  jockey
skyline  ligne d'horizon
lunge  fente
limiting  limiter
mortal  mortel
ascend  monter
exempt  exempter
ultraviolet  ultra-violet
twig  brindille
downhill  une descente
pageant  reconstitution historique
ashore  à terre
rectangular  rectangulaire
eldest  aîné
rum  rhum
best-known  plus connu
alligator  alligator
overshadow  éclipser
persuasion  persuasion
unhealthy  mauvais pour la santé
repeal  abrogation
halo  halo
two-way  bidirectionnel
ensue  résulter
intimately  intimement
havoc  ravage
bilingual  bilingue
borrower  emprunteur
(reed)  (roseau)
wed  mer
evade  éluder
terrified  terrifié
promotional  promotionnel
generating  générateur
chlorine  chlore
sulfur  soufre
riches  richesse
inference  inférence
sane  sain
robber  voleur
monarchy  la monarchie
deity  déité
metabolism  métabolisme
somber  sombre
engulf  engloutir
unsettle  ébranler
mailing  envoi postal
subtly  subtilement
containment  endiguement
magnify  amplifier
colonist  colon
admirer  admirateur
ascertain  vérifier
malpractice  faute professionnelle
misguided  égaré
sinister  sinistre
outburst  explosion
incarnation  incarnation
mower  tondeuse
auditorium  salle
microscopic  microscopique
poisoning  empoisonnement
caretaker  le concierge
juggle  jongler
plainly  clairement
limousine  limousine
plentiful  copieux
guitarist  guitariste
defining  définir
starvation  famine
deflect  dévier
defiance  défi
luminous  lumineux
shear  tondre
amplify  amplifier
lofty  élevé
foyer  foyer
staggering  échelonnement
modernist  moderniste
snowy  neigeux
casket  cercueil
inauguration  inauguration
rot  pourrir
horrify  horrifier
dryer  séchoir
fume  fumée
meager  maigre
warranty  garantie
seeker  chercheur
dent  bosse
pollen  pollen
remotely  à distance
rusty  rouillé
terrestrial  terrestre
breaking  rupture
jug  cruche
alienation  aliénation
self-confidence  confiance en soi
perk  avantage
permeate  pénétrer
late-night  tard dans la nuit
defiant  de défi
swollen  gonflé
maritime  maritime
grunt  grognement
taxation  imposition
loophole  échappatoire
bash  frapper
acquaint  informer
statistic  statistique
afflict  affliger
tan  bronzer
pollster  sondeur
browse  feuilleter
apiece  un morceau
amass  amasser
skater  patineur
implicitly  implicitement
slum  taudis
licensing  licence
inefficient  inefficace
soaring  envolée
cyclist  cycliste
managed  géré
unto  jusqu'à
traverse  traverser
protector  protecteur
thermometer  thermomètre
hippie  hippie
(cape)  (cap)
disdain  mépris
prominently  en bonne place
vigor  vigueur
comer  arrivant
savvy  avisé
oppressive  oppressif
mow  tondre
unnatural  non naturel
precursor  précurseur
poignant  poignant
vibrate  vibrer
swoop  piqué
statutory  statutaire
marketer  agent de commercialisation
finite  fini
minivan  fourgonnette
cleansing  nettoyage
impart  donner
parachute  parachute
centralized  centralisé
trafficking  trafic
treadmill  tapis roulant
discontent  mécontentement
coaster  coaster
dissident  dissident
faintly  faiblement
amuse  amuser
twenty-first  vingt et un
vinyl  vinyle
arousal  éveil
hiker  promeneur
mileage  kilométrage
browser  navigateur
speedy  rapide
underline  souligner
close-up  fermer
eclectic  éclectique
intimidation  intimidation
newfound  nouveau
stained  coloré
snag  accroc
prescribed  prescrit
sly  malin
relegate  reléguer
prom  bal de promo
quantify  quantifier
conspire  conspirer
motivated  motivés
geologist  géologue
pundit  expert
hairy  poilu
bearded  barbu
oust  évincer
shadowy  ombragé
abdomen  abdomen
entice  attirer
speculative  spéculatif
interpretive  interprétatif
reserved  réservé
partition  cloison
recurring  récurrent
uniformed  en uniforme
communion  communion
deterrent  dissuasif
swelling  gonflement
squarely  carrément
self-conscious  complexé
storyteller  conteur
timeless  intemporel
occupied  occupé
pioneering  novateur
demolish  démolir
berth  couchette
abs  abdos
radiant  radiant
orbital  orbital
backbone  colonne vertébrale
nope  nan
marrow  moelle
furiously  furieusement
transnational  transnational
greasy  graisseux
checkpoint  point de contrôle
platinum  platine
(silicon)  (silicium)
stitch  point
supernova  supernova
bonding  collage
loaded  chargé
postseason  séries éliminatoires
denote  dénoter
devoid  dépourvu
authorization  autorisation
immoral  immoral
receptor  récepteur
assorted  assorti
armchair  fauteuil
stiffen  raidir
voltage  tension
grieve  pleurer
receptive  réceptif
seminary  séminaire
populist  populiste
heading  titre
bathtub  baignoire
darkened  sombre
harness  harnais
leftover  laissé pour compte
coercion  coercition
fatality  fatalité
drizzle  bruine
walkway  passerelle
dissipate  se dissiper
publicize  publier
incompetent  incompétent
chaplain  aumônier
subordinate  subalterne
visibly  visiblement
semifinal  demi-finale
pediatrician  pédiatre
uninsured  non assuré
finale  final
mahogany  acajou
bulge  renflement
oxide  oxyde
reimbursement  remboursement
ensuing  qui s'ensuit
diocese  diocèse
pessimistic  pessimiste
quarry  carrière
savior  sauveur
bidding  enchère
wallpaper  fond d'écran
obscene  obscène
scarcity  rareté
locale  lieu
cynicism  cynisme
combustion  la combustion
invader  envahisseur
ventilation  ventilation
turbulent  turbulent
holistic  holistique
inviting  attrayant
manure  fumier
tenet  principe
straddle  enjamber
norwegian  norvégien
longitudinal  longitudinal
affirmation  affirmation
ethnographic  ethnographique
luncheon  déjeuner
aggravate  aggraver
insanity  folie
cornerstone  pierre angulaire
good-looking  beau
called  appelé
exaggerated  exagéré
rustic  rustique
seductive  séduisant
mantle  manteau
rigor  rigueur
flux  flux
query  mettre en doute
gloomy  sombre
disposable  jetable
sling  fronde
proprietary  propriétaire
light-year  année-lumière
warhead  ogive
para  para
troublesome  gênant
kinda  en quelque sorte
problem-solving  résolution de problème
wreath  couronne
torn  déchiré
annoy  ennuyer
amidst  au milieu de
managerial  managérial
discrete  discret
geometric  géométrique
wooded  boisé
condemnation  condamnation
nighttime  la nuit
warm-up  réchauffer
scribble  griffonner
scorer  buteur
enclosure  enceinte
molest  molester
contaminant  contaminant
gothic  gothique
umpire  arbitre
hard-core  hardcore
imprisonment  emprisonnement
flop  fiasco
revel  se délecter
indicative  indicatif
tidy  bien rangé
blackness  noirceur
dysfunctional  dysfonctionnel
typewriter  machine à écrire
lagoon  lagune
(vista)  (vue)
ambivalence  ambivalence
impaired  avec facultés affaiblies
blizzard  tempête de neige
unavailable  indisponible
humorous  humoristique
insofar  dans la mesure où
utilization  utilisation
decor  décor
divisive  diviseur
worn  porté
buyout  rachat
unmistakable  indubitable
beware  il faut se méfier
melon  melon
smoky  enfumé
sensational  sensationnel
forgotten  oublié
usefulness  utilité
wrath  colère
videotape  cassette vidéo
pertinent  pertinent
vineyard  vignoble
soundtrack  bande sonore
condominium  condominium
self-efficacy  auto-efficacité
nontraditional  non traditionnel
unanswered  sans réponse
wiring  câblage
shimmering  chatoyant
flinch  reculer
pulpit  chaire
presumption  présomption
endow  doter
downplay  minimiser
anyhow  de toute façon
bullshit  connerie
acknowledgment  reconnaissance
racket  raquette
vocation  vocation
(moss)  (mousse)
connected  lié
waterfront  front de mer
rounded  arrondi
levee  digue
abandonment  abandon
logistics  logistique
tart  tarte
favored  favorisé
witty  spirituel
stale  vicié
obedience  obéissance
short-lived  de courte durée
equitable  équitable
careless  négligent
fret  frette
disseminate  disséminer
altered  altéré
fetal  fœtal
flatter  flatter
worldview  vision du monde
injunction  injonction
errand  course
marking  marquage
lapse  laps
rapist  violeur
suspended  suspendu
kitten  chaton
realist  réaliste
finishing  finition
photon  photon
frying  friture
showing  montrant
ballistic  balistique
psychiatry  psychiatrie
improvisation  improvisation
observed  observé
barge  barge
runaway  fuyez
envoy  envoyé
coexist  coexister
anti-war  anti-guerre
sucker  ventouse
judiciary  judiciaire
chromosome  chromosome
traitor  traitre
unconventional  non conventionnel
markedly  nettement
espouse  adopter
powdered  en poudre
driven  conduit
chopper  hachoir
adherence  adhérence
showdown  épreuve de force
serum  sérum
rehab  désintox
traction  traction
sunscreen  crème solaire
graveyard  cimetière
rodent  rongeur
scientifically  scientifiquement
lame  boiteux
journalistic  journalistique
re-establish  rétablir
analog  analogique
iceberg  iceberg
parrot  perroquet
template  modèle
congratulations  toutes nos félicitations
midtown  centre-ville
deserted  déserté
faulty  défectueux
unification  unification
thump  cogner
paralysis  paralysie
strew  parsemer
tempo  tempo
acquit  acquitter
wilt  se flétrir
twenty-three  vingt trois
yeast  levure
pediatric  pédiatrique
enrichment  enrichissement
thy  tes
botanical  botanique
divinity  divinité
flowing  écoulement
wane  décliner
unfairly  injustement
savage  sauvage
forceful  énergique
tack  clouer
emblem  emblème
promised  promis
willow  saule
bland  fade
styling  coiffant
gateway  passerelle
termination  résiliation
stakeholder  partie prenante
hegemony  hégémonie
homage  hommage
mashed  en purée
sailing  voile
fed  nourris
displaced  déplacé
thriving  prospère
mobilization  la mobilisation
psychosocial  psychosocial
clipping  coupure
convergence  convergence
immensely  immensément
imagined  imaginé
palpable  palpable
mantra  mantra
password  le mot de passe
aboriginal  aborigène
cosmetics  produits de beauté
whim  caprice
spotted  pointé
watchdog  chien de garde
adjustable  ajustable
pickle  cornichon
stationary  stationnaire
continual  continuel
ridicule  ridicule
dj  dj
denim  jean
virgin  vierge
pitching  lancer
rectangle  rectangle
op  op
angular  angulaire
imperfect  imparfait
revert  revenir
periphery  périphérie
patronage  patronage
engaging  engageant
startled  surpris
clinician  clinicien
bikini  bikini
hospitalize  hospitaliser
ringing  sonnerie
comparatively  relativement
poisonous  toxique
statesman  homme d'état
villa  villa
marxist  marxiste
stimulating  stimulant
two-hour  deux heures
zest  zeste
appointee  personne nommée
invaluable  inestimable
infusion  infusion
ulcer  ulcère
proactive  proactif
shampoo  shampooing
translucent  translucide
brutally  brutalement
triumphant  triomphant
sensual  sensuel
fitting  raccord
self-defense  auto défense
hoof  sabot
chandelier  lustre
contaminated  contaminé
halve  réduire de moitié
coordinated  coordonné
approved  approuvé
concentrated  concentré
unpaid  non payé
enthusiastically  avec enthousiasme
precarious  précaire
grassy  herbeux
self-interest  intérêt personnel
mosaic  mosaïque
winding  enroulement
rosy  rosé
downstream  en aval
shredded  déchiqueté
clam  palourde
in-house  en interne
breathtaking  stupéfiant
passionately  passionnément
avalanche  avalanche
numerical  numérique
robotic  robotique
squadron  escadron
festive  de fête
coupon  coupon
biker  motard
ramification  ramification
sluggish  paresseux
grope  tâtonner
venerable  vénérable
seventeenth  dix-septième
microbe  microbe
repetitive  répétitif
engaged  engagé
baker  boulanger
footnote  note de bas de page
serene  serein
notation  notation
hungarian  hongrois
sanitation  assainissement
vector  vecteur
gust  rafale
folding  pliant
fluffy  duveteux
stern  arrière
pathology  pathologie
incompatible  incompatible
blurt  lâcher
vain  vaine
(virgin)  (vierge)
vigil  veillée
suppression  suppression
orthodoxy  orthodoxie
nonviolent  non violent
stressor  facteur de stress
re-elect  réélire
purchasing  achat
broke  fauché
neutron  neutron
minced  haché
stairway  escalier
taking  prise
fir  sapin
excavate  creuser
intrude  s'immiscer
metric  métrique
mapping  cartographie
holler  brailler
hip-hop  hip hop
hearty  copieux
cerebral  cérébral
cornerback  demi de coin
retarded  retardé
three-day  trois jours
modernism  modernisme
crocodile  crocodile
cider  cidre
symmetry  symétrie
earthly  terrestre
finalist  finaliste
innate  inné
cost-effective  rentable
dearly  chèrement
dope  drogue
parishioner  paroissien
snail  escargot
zeal  zèle
rejoin  rejoindre
decipher  déchiffrer
exemplary  exemplaire
electronically  électroniquement
osteoporosis  l'ostéoporose
shattered  éclaté
deplete  épuiser
martini  martini
perverse  pervers
acoustic  acoustique
proficiency  compétence
favorably  favorablement
standoff  impasse
coronary  coronaire
obsessive  obsessionnel
rhyme  rime
sincerely  cordialement
analogous  analogue
colombian  colombien
legion  légion
patriarchal  patriarcal
gait  démarche
euro  euro
gleam  lueur
accreditation  accréditation
kosher  kascher
caravan  caravane
unresolved  non résolu
locked  fermé à clé
gambler  joueur
sect  secte
sectarian  sectaire
resurrection  résurrection
brittle  fragile
adept  expert
handmade  fait main
handicapped  handicapé
(babe)  (bébé)
foray  incursion
torque  couple
outdated  dépassé
fragmented  fragmenté
coastline  littoral
cloudy  nuageux
thrift  épargne
necessitate  nécessiter
installment  versement
daycare  garderie
precipitate  précipité
subsistence  subsistance
subtract  soustraire
nourish  nourrir
slug  limace
first-round  premier tour
ho  ho
understandably  naturellement
likeness  ressemblance
strategically  stratégiquement
scold  gronder
hysteria  hystérie
upbringing  éducation
sixteenth  seizième
intolerance  intolérance
drinker  buveur
festivity  festivité
reflex  réflexe
rebuilding  reconstitution
barrage  barrage
inspiring  inspirant
slowdown  ralentir
conglomerate  conglomérat
(ivy)  (lierre)
rust  rouiller
cheerleader  majorette
township  canton
insulate  isoler
honorary  honoraire
disproportionate  disproportionné
consolation  consolation
dissatisfied  mécontent
operative  opératoire
all-american  tout américain
transmitter  émetteur
bailout  renflouement
ion  ion
hacker  pirate
curricular  scolaire
anthology  anthologie
vacancy  poste vacant
imprint  imprimer
supplemental  supplémentaire
audition  audition
receptionist  réceptionniste
sealed  scellé
addictive  addictif
unbearable  insupportable
portuguese  portugais
notoriously  notoirement
packing  emballage
projector  projecteur
two-story  à deux étages
wares  marchandises
polymer  polymère
prehistoric  préhistorique
eloquent  éloquent
nicotine  nicotine
globally  à l'échelle mondiale
nongovernmental  non gouvernemental
regiment  régiment
ascent  ascension
time-consuming  long
apricot  abricot
quaint  pittoresque
seedling  semis
herring  hareng
nigger  nègre
tofu  tofu
thirsty  soif
(federation)  (fédération)
anecdotal  anecdotique
tapestry  tapisserie
skid  déraper
smoked  fumé
hospice  hospice
adjective  adjectif
oasis  oasis
brilliance  éclat
scarlet  écarlate
aquarium  aquarium
misfortune  malheur
hostess  hôtesse
abuser  agresseur
inception  création
clad  habillé
reverence  révérence
winery  vignoble
telling  récit
balk  rechigner
(beta)  (bêta)
monstrous  monstrueux
obese  obèse
thoughtfully  pensivement
lecturer  maître de conférences
profess  professer
unintended  involontaire
jihad  jihad
moratorium  moratoire
estimation  estimation
headnote  sommaire
sprig  brin
brother-in-law  beau-frère
pharmacist  pharmacien
monologue  monologue
feud  querelle
convertible  convertible
embryonic  embryonnaire
casserole  casserole
audible  audible
beaten  battu
disgrace  disgrâce
resurgence  réapparition
(rosemary)  (romarin)
squirm  se tortiller
grad  diplômé
pixel  pixels
fledgling  débutant
year-old  age
brilliantly  brillamment
pantry  garde-manger
anew  un nouveau
fuse  fusible
fabricate  fabriquer
sow  truie
modernize  moderniser
disapproval  désapprobation
tendon  tendon
avocado  avocat
getaway  va-t-en
plaid  plaid
complexion  complexion
wrench  clé
sublime  sublime
trusted  de confiance
collateral  collatéral
stoop  se baisser
unused  inutilisé
ecstatic  en extase
waive  renoncer à
paramedic  paramédical
thaw  dégel
aye  toujours
disintegrate  désintégrer
hardy  robuste
obliterate  effacer
infiltrate  infiltrer
decency  décence
brandy  cognac
notwithstanding  nonobstant
forestry  sylviculture
rover  vagabond
internship  stage
enlightened  éclairé
extravagant  extravagant
testosterone  testostérone
belgian  belge
chatter  bavarder
predictive  prédictif
interrogate  interroger
grieving  en deuil
accessibility  accessibilité
(stat)  (statistique)
inflammatory  inflammatoire
visitation  visitation
hypertension  hypertension
conceivable  concevable
zucchini  courgette
entrust  confier
taut  tendu
exploratory  exploratoire
incremental  incrémentale
cutback  réduire
present-day  aujourd'hui
remedial  correctif
detach  détacher
biopsy  biopsie
brew  brasser
sacrament  sacrement
gymnastics  gymnastique
reorganization  réorganisation
clientele  clientèle
endowment  donation
biomass  biomasse
zipper  fermeture éclair
adrenaline  adrénaline
mediocre  médiocre
heartland  cœur
sparse  clairsemé
completed  complété
narrate  raconter
snore  ronfler
beacon  balise
speck  grain
zinc  zinc
tattered  en lambeaux
cellphone  téléphone portable
rendition  interprétation
saloon  salon
pleasantly  agréablement
preseason  pré-saison
unanimously  à l'unanimité
curfew  couvre-feu
gritty  graveleux
extraction  extraction
glisten  luire
courtship  cour
victimization  victimisation
(pentagon)  (pentagone)
yen  yen
rift  crevasse
orgasm  orgasme
melting  fusion
takeoff  décollage
gracefully  gracieusement
admirable  admirable
encyclopedia  encyclopédie
remorse  remords
shortfall  manque à gagner
cubicle  cabine
progressively  progressivement
principally  principalement
beforehand  préalablement
undecided  indécis
margarine  margarine
lookout  attention
scroll  faire défiler
objectivity  objectivité
affidavit  déclaration sous serment
folded  plié
neural  neural
satire  satire
dues  droits
cot  lit bébé
alternatively  alternativement
makeover  relooking
batting  frappeur
nation-state  état-nation
behold  voir
pew  banc
ethiopian  éthiopien
wring  tordre
tedious  fastidieux
nostalgic  nostalgique
turbulence  turbulence
differentiation  différenciation
dignified  digne
parody  parodie
caste  caste
humanities  sciences humaines
relentlessly  sans relâche
neutralize  neutraliser
proportional  proportionnel
rebate  rabais
(scripture)  (écriture)
sewing  couture
austrian  autrichien
fleeting  fugace
pedestal  piédestal
biographer  biographe
abdominal  abdominal
diarrhea  la diarrhée
delineate  tracer
spew  vomir
modern-day  moderne
omission  omission
annoyance  contrariété
paranoia  paranoïa
kuwaiti  koweïtien
emeritus  émérite
reptile  reptile
foreclosure  forclusion
insecure  peu sûr
majestic  majestueux
confound  confondre
mathematician  mathématicien
surreal  surréaliste
cleanse  purifier
relocation  déménagement
adopted  adopté
lotion  lotion
identifiable  identifiable
cadre  cadre
commend  saluer
encircle  encercler
confiscate  confisquer
dynasty  dynastie
burglary  cambriolage
coroner  coroner
generously  généreusement
disco  disco
paradoxically  paradoxalement
boldly  audacieusement
preferable  préférable
blue-collar  col bleu
amnesty  amnistie
hydraulic  hydraulique
rediscover  redécouvrir
disgusted  dégoûté
thee  te
forcefully  avec force
rink  patinoire
rafter  chevron
resurrect  ressusciter
individualism  individualisme
neuron  neurone
deli  épicerie fine
backfire  retour de flamme
resilience  résilience
downright  carrément
measured  mesuré
buttocks  fesses
delicately  délicatement
menopause  ménopause
yugoslav  yougoslave
halftime  mi-temps
derail  dérailler
bewildered  déconcerté
individuality  individualité
revitalize  revitaliser
reassurance  réconfort
downsize  réduire
impediment  obstacle
captivity  captivité
steward  intendant
watery  aqueux
electromagnetic  électromagnétique
kayak  kayak
tentatively  provisoirement
awkwardly  maladroitement
storefront  vitrine
sparkle  scintillait
defeated  vaincu
anti-semitism  antisémitisme
bipolar  bipolaire
manageable  maniable
guise  apparence
electrode  électrode
remake  refaire
ornate  fleuri
edible  comestible
colonization  la colonisation
funky  froussard
(miss)  (mademoiselle)
viral  viral
disciplined  discipliné
eggplant  aubergine
cover-up  couvrir
booklet  brochure
thunderstorm  orage
bumper  pare-chocs
stronghold  bastion
thrilling  palpitant
schoolteacher  professeur de l'école
focused  concentré
skyscraper  gratte-ciel
anxiously  anxieusement
pronouncement  déclaration
expend  dépenser
inexperienced  inexpérimenté
airy  aéré
outpatient  ambulatoire
resilient  résilient
erratic  erratique
redesign  refonte
refinement  raffinement
chute  chute
reciprocal  réciproque
neurological  neurologique
hilarious  hilarant
mother-in-law  belle-mère
(nonfiction)  (non-fiction)
dispel  dissiper
syringe  seringue
small-town  petite ville
taunt  raillerie
stylistic  stylistique
(gray)  (grise)
pointer  aiguille
yawn  bâiller
envelop  envelopper
handshake  poignée de main
theorize  théoriser
kindly  gentiment
revere  révérer
renounce  renoncer
mormon  mormon
distrust  méfiance
emigrate  émigrer
swath  andain
bribe  pot-de-vin
wiggle  remuer
overstate  exagérer
breeder  éleveur
cringe  grimacer
disapprove  désapprouver
whichever  n'importe lequel
lore  traditions
choral  choral
memorabilia  souvenirs
gag  gag
simplistic  simpliste
czar  tsar
emphatically  énergiquement
investing  investir
proclamation  proclamation
climax  climax
improbable  improbable
roadway  chaussée
wrapper  emballage
ukrainian  ukrainien
closeness  proximité
contributing  contribuant
victimize  victimiser
unearth  dénicher
ambivalent  ambivalent
caliber  calibre
subgroup  sous-groupe
confinement  confinement
hearth  foyer
humid  humide
updated  mise à jour
obstruct  obstruer
shortstop  arrêt-court
trudge  marche pénible
glean  glaner
generalize  généraliser
smuggler  contrebandier
induction  induction
bungalow  bungalow
suggestive  suggestif
feeding  alimentation
faucet  robinet
worldly  mondain
(testament)  (testament)
stash  planque
positioning  positionnement
humiliating  humiliant
centimeter  centimètre
shard  tesson
fillet  filet
dialect  dialecte
varsity  université
arid  aride
kettle  bouilloire
life-threatening  mettant la vie en danger
biased  biaisé
sharing  partage
recruiter  recruteur
(nafta)  (nafta)
unreliable  non fiable
dwindle  diminuer
flyer  prospectus
(ill)  (malade)
transient  transitoire
rejoice  réjouir
doorstep  seuil de porte
attributable  attribuable
patriarch  patriarche
substitution  substitution
unspoken  non-dit
anthropological  anthropologique
welcoming  accueillant
unequal  inégal
mare  jument
gal  fille
tutoring  tutorat
misdemeanor  délit
info  info
loot  butin
inconvenience  inconvénient
sleeper  dormeur
caricature  caricature
legalize  légaliser
peruvian  péruvien
racing  courses
foothill  colline
propulsion  propulsion
evergreen  à feuilles persistantes
attire  tenue
backcountry  arrière-pays
outfielder  voltigeur
sub  sous
recurrence  récurrence
saucer  soucoupe
stated  déclaré
synonymous  synonyme
macho  macho
strained  tendu
picket  piquet
clothe  vêtir
combatant  combattant
colonialism  colonialisme
derivative  dérivé
adoptive  adoptif
informative  informatif
twirl  tournoiement
nominal  nominal
recapture  reprise
second-hand  d'occasion
frontal  frontale
splendor  splendeur
blatant  flagrant
viability  viabilité
spreading  diffusion
overboard  à la mer
cohesion  cohésion
going  aller
funnel  entonnoir
abstinence  abstinence
distorted  déformé
twentieth-century  xxe siècle
pictorial  pictural
fanatic  fanatique
rendering  le rendu
hopelessly  désespérément
ancestry  ascendance
upstate  nord de l'état
remembrance  souvenir
detachment  détachement
repercussion  répercussion
frivolous  frivole
exceedingly  extrêmement
accelerated  accéléré
familial  familial
decoy  leurre
vial  fiole
wrinkled  ridé
thirst  la soif
flashy  tape à l'oeil
dweller  habitant
tame  apprivoiser
hygiene  hygiène
mindful  conscient
porn  porno
bison  bison
physiology  physiologie
mussels  moules
relive  revivre
deport  expulser
debacle  débâcle
detrimental  préjudiciable
amen  amen
genus  genre
blare  vacarme
funded  financé
oversized  énorme
valuation  évaluation
gobble  glouglou
attainment  réalisation
jolt  secousse
ardent  ardent
naturalist  naturaliste
centennial  centenaire
learned  appris
unprepared  pas préparé
appalling  épouvantable
righteous  vertueux
subpoena  assignation
provisional  provisoire
mend  réparer
cheerfully  gaiement
metaphysical  métaphysique
teller  caissier
internalize  intérioriser
demolition  démolition
tweak  tordre
spiritually  spirituellement
leafy  feuillu
devout  pieux
at-risk  à risque
proprietor  propriétaire
noted  c'est noté
boiler  chaudière
fielder  défenseur
reorganize  réorganiser
penetration  pénétration
grimace  grimace
unjust  injuste
exporter  exportateur
narration  narration
powerfully  puissamment
baggy  bouffant
rearview  vue arrière
ailing  malade
strife  conflit
exaggeration  exagération
jordanian  jordanien
accentuate  accentuer
primer  apprêt
leash  laisse
validation  validation
gutter  gouttière
baby-sitter  baby-sitter
auditory  auditif
propensity  propension
ponytail  queue de cheval
adventurous  aventureux
bottled  embouteillée
reinstate  rétablir
islamist  islamiste
delusion  illusion
breathless  à bout de souffle
co-star  co-vedette
privatize  privatiser
refund  rembourser
plutonium  plutonium
synthesize  synthétiser
solidify  solidifier
ascribe  attribuer
stabilization  stabilisation
trafficker  trafiquant
uncanny  étonnant
aspiring  en herbe
pane  vitre
atm  au m
feeder  mangeoire
specified  spécifié
dampen  humidifier
rouse  réveiller
childbirth  accouchement
smother  étouffer
eject  éjecter
(jeep)  (jeep)
backstage  coulisses
flatly  catégoriquement
unauthorized  non autorisé
sincerity  la sincérité
marshal  maréchal
forgiving  indulgent
trainee  stagiaire
undesirable  indésirable
horde  horde
hideous  hideux
infancy  enfance
tsunami  tsunami
mute  muet
craftsman  artisan
alternately  alternativement
escalating  escalade
intersect  couper
eyeball  globe oculaire
professionalism  professionnalisme
watermelon  pastèque
oatmeal  gruau
treacherous  perfide
dormitory  dortoir
quirky  excentrique
outstretched  tendu
staffing  recrutement
stairwell  cage d'escalier
hassle  problèmes
moderation  modération
stricken  sinistré
stipulate  stipuler
adultery  adultère
remarry  se remarier
changed  modifié
first-class  première classe
foreman  contremaître
corpus  corpus
determining  déterminer
intrusive  intrusif
confidently  en toute confiance
metabolic  métabolique
memorandum  mémorandum
dwindling  diminue
infinitely  infiniment
methodological  méthodologique
embodiment  mode de réalisation
first-hand  de première main
overdue  en retard
mover  déménageur
fragmentation  fragmentation
cameraman  cameraman
cognition  cognition
