the  la
affiliate  affilier
holistic  holistique
inviting  attrayant
manure  fumier
tenet  principe
straddle  enjamber
norwegian  norvégien
longitudinal  longitudinal
affirmation  affirmation
ethnographic  ethnographique
same  même
luncheon  déjeuner
haul  transporter
aggravate  aggraver
insanity  folie
cornerstone  pierre angulaire
good-looking  beau
called  appelé
exaggerated  exagéré
rustic  rustique
seductive  séduisant
mantle  manteau
exterior  extérieur
rigor  rigueur
flux  flux
query  mettre en doute
gloomy  sombre
disposable  jetable
sling  fronde
proprietary  propriétaire
light-year  année-lumière
warhead  ogive
para  para
consulting  consultant
troublesome  gênant
kinda  en quelque sorte
row  ligne
problem-solving  résolution de problème
wreath  couronne
torn  déchiré
annoy  ennuyer
amidst  au milieu de
managerial  managérial
discrete  discret
geometric  géométrique
epic  épique
wooded  boisé
following  suivant
condemnation  condamnation
nighttime  la nuit
warm-up  réchauffer
scribble  griffonner
scorer  buteur
enclosure  enceinte
molest  molester
contaminant  contaminant
harness  harnais
gothic  gothique
umpire  arbitre
hard-core  hardcore
imprisonment  emprisonnement
flop  fiasco
alcoholic  alcoolique
revel  se délecter
indicative  indicatif
tidy  bien rangé
blackness  noirceur
dysfunctional  dysfonctionnel
typewriter  machine à écrire
scare  effrayer
lagoon  lagune
(vista)  (vue)
ambivalence  ambivalence
impaired  avec facultés affaiblies
blizzard  tempête de neige
unavailable  indisponible
humorous  humoristique
insofar  dans la mesure où
utilization  utilisation
decor  décor
divisive  diviseur
worn  porté
buyout  rachat
unmistakable  indubitable
beware  il faut se méfier
melon  melon
smoky  enfumé
sensational  sensationnel
forgotten  oublié
temper  tempérer
usefulness  utilité
charm  charme
wrath  colère
videotape  cassette vidéo
pertinent  pertinent
shade  ombre
vineyard  vignoble
soundtrack  bande sonore
condominium  condominium
self-efficacy  auto-efficacité
nontraditional  non traditionnel
unanswered  sans réponse
wiring  câblage
shimmering  chatoyant
flinch  reculer
pulpit  chaire
presumption  présomption
endow  doter
downplay  minimiser
anyhow  de toute façon
bullshit  connerie
acknowledgment  reconnaissance
racket  raquette
vocation  vocation
(moss)  (mousse)
connected  lié
waterfront  front de mer
steam  fumer
rounded  arrondi
levee  digue
abandonment  abandon
logistics  logistique
tart  tarte
favored  favorisé
witty  spirituel
stale  vicié
downward  vers le bas
obedience  obéissance
short-lived  de courte durée
equitable  équitable
careless  négligent
fret  frette
disseminate  disséminer
altered  altéré
fetal  fœtal
flatter  flatter
worldview  vision du monde
injunction  injonction
hide  cacher
errand  course
marking  marquage
lapse  laps
rapist  violeur
skate  patin
imperative  impératif
suspended  suspendu
kitten  chaton
realist  réaliste
finishing  finition
photon  photon
frying  friture
showing  montrant
ballistic  balistique
psychiatry  psychiatrie
improvisation  improvisation
observed  observé
barge  barge
runaway  fuyez
envoy  envoyé
coexist  coexister
anti-war  anti-guerre
sucker  ventouse
judiciary  judiciaire
chromosome  chromosome
remedy  remède
scrub  frotter
traitor  traitre
unconventional  non conventionnel
markedly  nettement
espouse  adopter
band  bande
powdered  en poudre
driven  conduit
chopper  hachoir
chant  chant
adherence  adhérence
showdown  épreuve de force
serum  sérum
overlap  chevaucher
rehab  désintox
traction  traction
sunscreen  crème solaire
graveyard  cimetière
rodent  rongeur
scientifically  scientifiquement
lame  boiteux
journalistic  journalistique
alert  alerte
re-establish  rétablir
analog  analogique
minute  minute
iceberg  iceberg
parrot  perroquet
template  modèle
congratulations  toutes nos félicitations
midtown  centre-ville
deserted  déserté
faulty  défectueux
unification  unification
thump  cogner
paralysis  paralysie
strew  parsemer
tempo  tempo
acquit  acquitter
wilt  se flétrir
twenty-three  vingt trois
yeast  levure
pediatric  pédiatrique
enrichment  enrichissement
thy  tes
perch  perche
botanical  botanique
divinity  divinité
flowing  écoulement
wane  décliner
unfairly  injustement
savage  sauvage
forceful  énergique
tack  clouer
emblem  emblème
promised  promis
willow  saule
bland  fade
styling  coiffant
gateway  passerelle
termination  résiliation
stakeholder  partie prenante
hegemony  hégémonie
homage  hommage
sweet  sucré
mashed  en purée
police  police
sailing  voile
fed  nourris
displaced  déplacé
thriving  prospère
mobilization  la mobilisation
implant  implant
streak  traînée
psychosocial  psychosocial
clipping  coupure
convergence  convergence
immensely  immensément
imagined  imaginé
palpable  palpable
mantra  mantra
password  le mot de passe
aboriginal  aborigène
cosmetics  produits de beauté
whim  caprice
spotted  pointé
watchdog  chien de garde
adjustable  ajustable
pickle  cornichon
stationary  stationnaire
continual  continuel
ridicule  ridicule
dj  dj
pardon  pardon
denim  jean
virgin  vierge
pitching  lancer
bubble  bulle
rectangle  rectangle
weed  herbe
op  op
close  fermer
angular  angulaire
imperfect  imparfait
revert  revenir
periphery  périphérie
patronage  patronage
engaging  engageant
startled  surpris
clinician  clinicien
bikini  bikini
hospitalize  hospitaliser
ringing  sonnerie
comparatively  relativement
poisonous  toxique
statesman  homme d'état
villa  villa
marxist  marxiste
stimulating  stimulant
two-hour  deux heures
zest  zeste
appointee  personne nommée
invaluable  inestimable
infusion  infusion
ulcer  ulcère
proactive  proactif
shampoo  shampooing
translucent  translucide
brutally  brutalement
triumphant  triomphant
sensual  sensuel
fitting  raccord
self-defense  auto défense
hoof  sabot
chandelier  lustre
contaminated  contaminé
gasp  haleter
halve  réduire de moitié
coordinated  coordonné
approved  approuvé
concentrated  concentré
unpaid  non payé
enthusiastically  avec enthousiasme
precarious  précaire
grassy  herbeux
self-interest  intérêt personnel
mosaic  mosaïque
bypass  contourne
winding  enroulement
rosy  rosé
downstream  en aval
shredded  déchiqueté
clam  palourde
in-house  en interne
breathtaking  stupéfiant
ginger  gingembre
passionately  passionnément
avalanche  avalanche
numerical  numérique
robotic  robotique
squadron  escadron
festive  de fête
steady  constant
coupon  coupon
biker  motard
ramification  ramification
sluggish  paresseux
grope  tâtonner
venerable  vénérable
seventeenth  dix-septième
microbe  microbe
repetitive  répétitif
engaged  engagé
baker  boulanger
brown  marron
footnote  note de bas de page
serene  serein
notation  notation
hungarian  hongrois
sanitation  assainissement
vector  vecteur
gust  rafale
folding  pliant
fluffy  duveteux
stern  arrière
pathology  pathologie
incompatible  incompatible
blurt  lâcher
vain  vaine
suffering  souffrance
(virgin)  (vierge)
vigil  veillée
suppression  suppression
orthodoxy  orthodoxie
nonviolent  non violent
profile  profil
stressor  facteur de stress
re-elect  réélire
giggle  pouffer de rire
purchasing  achat
broke  fauché
neutron  neutron
minced  haché
stairway  escalier
taking  prise
fir  sapin
excavate  creuser
cloud  nuage
intrude  s'immiscer
metric  métrique
mapping  cartographie
holler  brailler
hip-hop  hip hop
hearty  copieux
cerebral  cérébral
cornerback  demi de coin
retarded  retardé
three-day  trois jours
modernism  modernisme
crocodile  crocodile
cider  cidre
coin  pièce de monnaie
symmetry  symétrie
crown  couronne
earthly  terrestre
finalist  finaliste
innate  inné
cost-effective  rentable
dearly  chèrement
dope  drogue
upright  droit
parishioner  paroissien
snail  escargot
zeal  zèle
rejoin  rejoindre
decipher  déchiffrer
exemplary  exemplaire
electronically  électroniquement
osteoporosis  l'ostéoporose
shattered  éclaté
deplete  épuiser
martini  martini
perverse  pervers
acoustic  acoustique
proficiency  compétence
favorably  favorablement
standoff  impasse
coronary  coronaire
obsessive  obsessionnel
rhyme  rime
sincerely  cordialement
analogous  analogue
colombian  colombien
legion  légion
patriarchal  patriarcal
gait  démarche
euro  euro
gleam  lueur
accreditation  accréditation
kosher  kascher
caravan  caravane
unresolved  non résolu
offshore  au large
locked  fermé à clé
gambler  joueur
sect  secte
tone  ton
sectarian  sectaire
resurrection  résurrection
brittle  fragile
adept  expert
handmade  fait main
handicapped  handicapé
(babe)  (bébé)
foray  incursion
torque  couple
outdated  dépassé
fragmented  fragmenté
coastline  littoral
cloudy  nuageux
spur  éperon
thrift  épargne
manufacture  fabrication
necessitate  nécessiter
installment  versement
daycare  garderie
precipitate  précipité
subsistence  subsistance
subtract  soustraire
nourish  nourrir
evangelical  évangélique
slug  limace
first-round  premier tour
ho  ho
understandably  naturellement
likeness  ressemblance
strategically  stratégiquement
scold  gronder
hysteria  hystérie
upbringing  éducation
sixteenth  seizième
intolerance  intolérance
drinker  buveur
festivity  festivité
reflex  réflexe
rebuilding  reconstitution
barrage  barrage
inspiring  inspirant
slowdown  ralentir
conglomerate  conglomérat
(ivy)  (lierre)
scrap  abandonner
rust  rouiller
safe  sûr
cheerleader  majorette
township  canton
insulate  isoler
honorary  honoraire
disproportionate  disproportionné
consolation  consolation
dispatch  envoi
dissatisfied  mécontent
operative  opératoire
all-american  tout américain
transmitter  émetteur
bailout  renflouement
ion  ion
hacker  pirate
curricular  scolaire
anthology  anthologie
vacancy  poste vacant
imprint  imprimer
supplemental  supplémentaire
audition  audition
receptionist  réceptionniste
sealed  scellé
addictive  addictif
unbearable  insupportable
portuguese  portugais
poll  sondage
notoriously  notoirement
packing  emballage
projector  projecteur
two-story  à deux étages
wares  marchandises
cradle  berceau
polymer  polymère
prehistoric  préhistorique
eloquent  éloquent
nicotine  nicotine
globally  à l'échelle mondiale
nongovernmental  non gouvernemental
regiment  régiment
ascent  ascension
time-consuming  long
apricot  abricot
quaint  pittoresque
operative  opératoire
seedling  semis
herring  hareng
nigger  nègre
tofu  tofu
safeguard  sauvegarde
thirsty  soif
(federation)  (fédération)
anecdotal  anecdotique
outlaw  hors la loi
tapestry  tapisserie
underwater  sous-marin
skid  déraper
school  l'école
smoked  fumé
hospice  hospice
adjective  adjectif
oasis  oasis
brilliance  éclat
scarlet  écarlate
aquarium  aquarium
misfortune  malheur
hostess  hôtesse
abuser  agresseur
inception  création
clad  habillé
reverence  révérence
winery  vignoble
telling  récit
balk  rechigner
bath  bain
(beta)  (bêta)
monstrous  monstrueux
obese  obèse
thoughtfully  pensivement
lecturer  maître de conférences
profess  professer
unintended  involontaire
jihad  jihad
moratorium  moratoire
estimation  estimation
headnote  sommaire
sprig  brin
brother-in-law  beau-frère
pharmacist  pharmacien
monologue  monologue
feud  querelle
convertible  convertible
ally  allié
embryonic  embryonnaire
casserole  casserole
audible  audible
beaten  battu
disgrace  disgrâce
resurgence  réapparition
(rosemary)  (romarin)
squirm  se tortiller
grad  diplômé
pixel  pixels
fledgling  débutant
year-old  age
brilliantly  brillamment
trim  garniture
pantry  garde-manger
snap  se casser
cycle  cycle
anew  un nouveau
fuse  fusible
fabricate  fabriquer
sow  truie
bare  nu
modernize  moderniser
disapproval  désapprobation
tendon  tendon
avocado  avocat
disguise  déguisement
getaway  va-t-en
plaid  plaid
complexion  complexion
wrench  clé
sublime  sublime
trusted  de confiance
collateral  collatéral
stoop  se baisser
unused  inutilisé
ecstatic  en extase
waive  renoncer à
paramedic  paramédical
thaw  dégel
aye  toujours
disintegrate  désintégrer
hardy  robuste
obliterate  effacer
infiltrate  infiltrer
decency  décence
brandy  cognac
notwithstanding  nonobstant
forestry  sylviculture
rover  vagabond
stitch  point
internship  stage
enlightened  éclairé
extravagant  extravagant
testosterone  testostérone
belgian  belge
find  trouver
chatter  bavarder
predictive  prédictif
interrogate  interroger
grieving  en deuil
accessibility  accessibilité
(stat)  (statistique)
inflammatory  inflammatoire
visitation  visitation
hypertension  hypertension
hanging  suspendu
conceivable  concevable
zucchini  courgette
entrust  confier
taut  tendu
exploratory  exploratoire
incremental  incrémentale
cutback  réduire
present-day  aujourd'hui
remedial  correctif
detach  détacher
biopsy  biopsie
brew  brasser
sacrament  sacrement
gymnastics  gymnastique
transplant  une greffe
slate  ardoise
reorganization  réorganisation
discipline  la discipline
clientele  clientèle
endowment  donation
biomass  biomasse
zipper  fermeture éclair
adrenaline  adrénaline
mediocre  médiocre
heartland  cœur
outright  carrément
sparse  clairsemé
completed  complété
narrate  raconter
snore  ronfler
beacon  balise
speck  grain
zinc  zinc
tattered  en lambeaux
cellphone  téléphone portable
rendition  interprétation
saloon  salon
roast  rôti
roast  rôti
pleasantly  agréablement
preseason  pré-saison
unanimously  à l'unanimité
solid  solide
curfew  couvre-feu
swell  gonfler
gritty  graveleux
extraction  extraction
glisten  luire
courtship  cour
victimization  victimisation
(pentagon)  (pentagone)
yen  yen
rift  crevasse
orgasm  orgasme
slick  nappe
melting  fusion
excerpt  extrait
takeoff  décollage
gracefully  gracieusement
admirable  admirable
encyclopedia  encyclopédie
remorse  remords
shortfall  manque à gagner
cubicle  cabine
progressively  progressivement
pride  orgueil
shy  timide
bloody  sanglant
principally  principalement
beforehand  préalablement
dart  dard
undecided  indécis
margarine  margarine
lookout  attention
scroll  faire défiler
objectivity  objectivité
affidavit  déclaration sous serment
pen  stylo
folded  plié
preserve  préserver
neural  neural
satire  satire
dues  droits
cot  lit bébé
alternatively  alternativement
makeover  relooking
batting  frappeur
nation-state  état-nation
behold  voir
pew  banc
ethiopian  éthiopien
wring  tordre
tedious  fastidieux
nostalgic  nostalgique
turbulence  turbulence
junior  junior
differentiation  différenciation
dignified  digne
parody  parodie
caste  caste
humanities  sciences humaines
collective  collectif
relentlessly  sans relâche
neutralize  neutraliser
proportional  proportionnel
rebate  rabais
(scripture)  (écriture)
sewing  couture
austrian  autrichien
fleeting  fugace
pedestal  piédestal
biographer  biographe
abdominal  abdominal
parade  parade
diarrhea  la diarrhée
delineate  tracer
spew  vomir
modern-day  moderne
omission  omission
annoyance  contrariété
paranoia  paranoïa
kuwaiti  koweïtien
emeritus  émérite
reptile  reptile
foreclosure  forclusion
halfway  à mi-chemin
insecure  peu sûr
majestic  majestueux
confound  confondre
mathematician  mathématicien
surreal  surréaliste
holding  en portant
born  née
cleanse  purifier
relocation  déménagement
compact  compact
adopted  adopté
lotion  lotion
finger  doigt
identifiable  identifiable
cadre  cadre
commend  saluer
surplus  surplus
encircle  encercler
confiscate  confisquer
dynasty  dynastie
burglary  cambriolage
coroner  coroner
generously  généreusement
eclipse  éclipse
disco  disco
paradoxically  paradoxalement
boldly  audacieusement
heap  tas
preferable  préférable
blue-collar  col bleu
amnesty  amnistie
iron  fer à repasser
hydraulic  hydraulique
rediscover  redécouvrir
disgusted  dégoûté
thee  te
following  suivant
forcefully  avec force
rink  patinoire
rafter  chevron
resurrect  ressusciter
flourish  fleurir
individualism  individualisme
neuron  neurone
deli  épicerie fine
backfire  retour de flamme
resilience  résilience
downright  carrément
pastel  pastel
measured  mesuré
buttocks  fesses
delicately  délicatement
menopause  ménopause
yugoslav  yougoslave
halftime  mi-temps
derail  dérailler
bewildered  déconcerté
individuality  individualité
revitalize  revitaliser
reassurance  réconfort
downsize  réduire
impediment  obstacle
captivity  captivité
steward  intendant
watery  aqueux
electromagnetic  électromagnétique
kayak  kayak
tentatively  provisoirement
awkwardly  maladroitement
storefront  vitrine
sparkle  scintillait
defeated  vaincu
anti-semitism  antisémitisme
bipolar  bipolaire
manageable  maniable
guise  apparence
electrode  électrode
slap  gifler
remake  refaire
ornate  fleuri
edible  comestible
patch  pièce
colonization  la colonisation
funky  froussard
(miss)  (mademoiselle)
viral  viral
hum  hum
disciplined  discipliné
eggplant  aubergine
cover-up  couvrir
booklet  brochure
thunderstorm  orage
bumper  pare-chocs
stronghold  bastion
thrilling  palpitant
schoolteacher  professeur de l'école
focused  concentré
skyscraper  gratte-ciel
anxiously  anxieusement
pronouncement  déclaration
expend  dépenser
brake  frein
inexperienced  inexpérimenté
airy  aéré
outpatient  ambulatoire
resilient  résilient
erratic  erratique
redesign  refonte
refinement  raffinement
chute  chute
reciprocal  réciproque
neurological  neurologique
hilarious  hilarant
mother-in-law  belle-mère
arch  cambre
(nonfiction)  (non-fiction)
dispel  dissiper
syringe  seringue
small-town  petite ville
taunt  raillerie
shiite  chi'ite
stylistic  stylistique
(gray)  (grise)
pointer  aiguille
yawn  bâiller
envelop  envelopper
handshake  poignée de main
theorize  théoriser
special  spécial
kindly  gentiment
revere  révérer
renounce  renoncer
mormon  mormon
bundle  empaqueter
distrust  méfiance
emigrate  émigrer
squeeze  presser
tan  bronzer
swath  andain
cardboard  papier carton
bribe  pot-de-vin
frown  froncer les sourcils
wiggle  remuer
overstate  exagérer
breeder  éleveur
cringe  grimacer
disapprove  désapprouver
whichever  n'importe lequel
herd  troupeau
lore  traditions
choral  choral
memorabilia  souvenirs
gag  gag
simplistic  simpliste
czar  tsar
emphatically  énergiquement
investing  investir
proclamation  proclamation
climax  climax
improbable  improbable
roadway  chaussée
wrapper  emballage
ukrainian  ukrainien
closeness  proximité
contributing  contribuant
victimize  victimiser
unearth  dénicher
plunge  plonger
ambivalent  ambivalent
caliber  calibre
subgroup  sous-groupe
confinement  confinement
hearth  foyer
extra  supplémentaire
humid  humide
swarm  essaim
worthy  digne
updated  mise à jour
obstruct  obstruer
shortstop  arrêt-court
trudge  marche pénible
glean  glaner
generalize  généraliser
smuggler  contrebandier
induction  induction
bungalow  bungalow
suggestive  suggestif
feeding  alimentation
faucet  robinet
worldly  mondain
(testament)  (testament)
stash  planque
positioning  positionnement
humiliating  humiliant
centimeter  centimètre
caring  bienveillance
shard  tesson
fillet  filet
dialect  dialecte
varsity  université
arid  aride
founding  fondateur
kettle  bouilloire
life-threatening  mettant la vie en danger
biased  biaisé
sharing  partage
recruiter  recruteur
(nafta)  (nafta)
down  vers le bas
unreliable  non fiable
fundamental  fondamental
dwindle  diminuer
flyer  prospectus
(ill)  (malade)
transient  transitoire
rejoice  réjouir
paddle  pagayer
doorstep  seuil de porte
distance  distance
attributable  attribuable
patriarch  patriarche
substitution  substitution
unspoken  non-dit
anthropological  anthropologique
welcoming  accueillant
unequal  inégal
mare  jument
gal  fille
tutoring  tutorat
misdemeanor  délit
info  info
nest  nid
loot  butin
inconvenience  inconvénient
sleeper  dormeur
gamble  pari
caricature  caricature
legalize  légaliser
peruvian  péruvien
racing  courses
foothill  colline
propulsion  propulsion
evergreen  à feuilles persistantes
attire  tenue
backcountry  arrière-pays
outfielder  voltigeur
sub  sous
recurrence  récurrence
saucer  soucoupe
stated  déclaré
synonymous  synonyme
macho  macho
strained  tendu
picket  piquet
clothe  vêtir
combatant  combattant
colonialism  colonialisme
derivative  dérivé
adoptive  adoptif
informative  informatif
moderate  modérer
twirl  tournoiement
nominal  nominal
recapture  reprise
second-hand  d'occasion
frontal  frontale
splendor  splendeur
blatant  flagrant
viability  viabilité
spreading  diffusion
overboard  à la mer
cohesion  cohésion
going  aller
funnel  entonnoir
abstinence  abstinence
distorted  déformé
twentieth-century  xxe siècle
pictorial  pictural
fanatic  fanatique
routine  routine
rendering  le rendu
hopelessly  désespérément
ancestry  ascendance
upstate  nord de l'état
remembrance  souvenir
detachment  détachement
repercussion  répercussion
frivolous  frivole
exceedingly  extrêmement
accelerated  accéléré
familial  familial
decoy  leurre
vial  fiole
wrinkled  ridé
thirst  la soif
flashy  tape à l'oeil
dweller  habitant
tame  apprivoiser
hygiene  hygiène
mindful  conscient
porn  porno
bison  bison
physiology  physiologie
mussels  moules
relive  revivre
deport  expulser
debacle  débâcle
detrimental  préjudiciable
amen  amen
genus  genre
pilot  pilote
blare  vacarme
funded  financé
oversized  énorme
original  original
valuation  évaluation
nice  agréable
gobble  glouglou
attainment  réalisation
jolt  secousse
ardent  ardent
naturalist  naturaliste
centennial  centenaire
learned  appris
unprepared  pas préparé
appalling  épouvantable
righteous  vertueux
subpoena  assignation
provisional  provisoire
regular  régulier
mend  réparer
cheerfully  gaiement
metaphysical  métaphysique
teller  caissier
internalize  intérioriser
demolition  démolition
tweak  tordre
spiritually  spirituellement
leafy  feuillu
devout  pieux
at-risk  à risque
proprietor  propriétaire
noted  c'est noté
boiler  chaudière
fielder  défenseur
reorganize  réorganiser
penetration  pénétration
grimace  grimace
unjust  injuste
exporter  exportateur
narration  narration
vegetarian  végétarien
powerfully  puissamment
mint  menthe
baggy  bouffant
rearview  vue arrière
ailing  malade
strife  conflit
murmur  murmure
wrong  tort
exaggeration  exagération
jordanian  jordanien
accentuate  accentuer
primer  apprêt
leash  laisse
validation  validation
gutter  gouttière
baby-sitter  baby-sitter
auditory  auditif
hebrew  hébreu
propensity  propension
ponytail  queue de cheval
crop  recadrer
adventurous  aventureux
bottled  embouteillée
reinstate  rétablir
islamist  islamiste
delusion  illusion
faint  perdre connaissance
breathless  à bout de souffle
co-star  co-vedette
privatize  privatiser
gun  arme à feu
spoon  cuillère
mate  copain
refund  rembourser
chuckle  glousser
plutonium  plutonium
chip  ébrécher
synthesize  synthétiser
solidify  solidifier
ascribe  attribuer
stabilization  stabilisation
trafficker  trafiquant
uncanny  étonnant
aspiring  en herbe
pane  vitre
atm  au m
condition  état
feeder  mangeoire
specified  spécifié
buy  acheter
backward  en arrière
dampen  humidifier
hire  embaucher
rouse  réveiller
childbirth  accouchement
smother  étouffer
eject  éjecter
(jeep)  (jeep)
backstage  coulisses
flatly  catégoriquement
unauthorized  non autorisé
sincerity  la sincérité
marshal  maréchal
forgiving  indulgent
trainee  stagiaire
undesirable  indésirable
horde  horde
hideous  hideux
infancy  enfance
tsunami  tsunami
mute  muet
craftsman  artisan
alternately  alternativement
escalating  escalade
intersect  couper
eyeball  globe oculaire
professionalism  professionnalisme
watermelon  pastèque
oatmeal  gruau
treacherous  perfide
dormitory  dortoir
quirky  excentrique
outstretched  tendu
staffing  recrutement
stairwell  cage d'escalier
angle  angle
hassle  problèmes
moderation  modération
stricken  sinistré
stipulate  stipuler
adultery  adultère
remarry  se remarier
shred  déchiqueter
changed  modifié
first-class  première classe
foreman  contremaître
corpus  corpus
determining  déterminer
intrusive  intrusif
fitting  raccord
confidently  en toute confiance
metabolic  métabolique
memorandum  mémorandum
dwindling  diminue
infinitely  infiniment
methodological  méthodologique
embodiment  mode de réalisation
first-hand  de première main
overdue  en retard
mover  déménageur
fragmentation  fragmentation
cameraman  cameraman
cognition  cognition
up  en haut
sweatshirt  sweat-shirt
prolific  prolifique
gladly  volontier
tilt  inclinaison
mythical  mythique
leukemia  leucémie
marginalize  marginaliser
vent  évent
mulch  paillis
telling  récit
upwards  vers le haut
upstairs  en haut
unnamed  anonyme
syndicated  syndiqué
far-reaching  de grande envergure
powerhouse  centrale
front-runner  avant-coureur
(sidebar)  (encadré)
partner  partenaire
defective  défectueux
shabby  minable
censor  censurer
drip  goutte
schoolchild  écolier
construe  interpréter
overhaul  révision
conducive  propice
conceptualize  conceptualiser
flick  feuilleter
disable  désactiver
trough  creux
warmly  chaleureusement
ludicrous  ridicule
reference  référence
trappings  ornements
tenderness  tendresse
busy  occupé
beige  beige
throng  foule
scoff  moquerie
veggie  végétarien
generalized  généralisé
frequent  fréquent
treasurer  trésorier
optimum  optimum
sanity  santé mentale
pitfall  piège
articulation  articulation
revolutionize  révolutionner
mammoth  mammouth
weight  poids
fervor  ferveur
(treasury)  (trésorerie)
dagger  dague
steep  tremper
hem  ourlet
revolver  revolver
intimate  intime
abduction  enlèvement
determinant  déterminant
chiefly  principalement
shrewd  astucieux
want  vouloir
pink  rose
predatory  prédateur
subtlety  subtilité
cavern  caverne
involuntary  involontaire
thicket  fourré
nigerian  nigérian
(prep)  (préparation)
idealism  idéalisme
suggested  suggéré
prowess  prouesse
booze  biberonner
magistrate  magistrat
burglar  cambrioleur
diffusion  la diffusion
campfire  feu de camp
specificity  spécificité
clerical  clérical
overlapping  chevauchement
ooze  suinter
hamstring  tendon
spearhead  fer de lance
argentine  argentin
fair  équitable
(mommy)  (maman)
taiwanese  taiwanais
shallot  échalote
steaming  fumant
goggle  lunettes
perennial  vivace
bristle  poil
sweetie  chéri
locality  localité
verification  vérification
truce  trêve
dugout  pirogue
man  homme
scrape  rayer
wake-up  se réveiller
timer  minuteur
fancy  fantaisie
astonished  étonné
star  star
threatening  menaçant
prerequisite  prérequis
intrigue  intrigue
mistakenly  par erreur
quad  quad
preschooler  enfant d'âge préscolaire
multiculturalism  multiculturalisme
padded  rembourré
rein  rêne
shortcut  raccourci
wax  la cire
antisocial  antisocial
underside  dessous
captive  captif
beak  le bec
tenuous  ténu
simulated  simulé
misty  brumeux
hanger  cintre
scowl  mine renfrognée
pedagogical  pédagogique
falling  chute
chatter  bavarder
strikingly  étonnamment
repository  dépôt
refute  réfuter
spontaneously  spontanément
reassuring  rassurant
pee  pipi
meticulous  méticuleux
bumper  pare-chocs
eminent  éminent
knowingly  sciemment
third-party  tierce personne
vaccination  vaccination
housekeeper  gouvernante
crank  manivelle
net  rapporter
overhead  aérien
garner  recueillir
shingle  galets
sinner  pécheur
decorated  décoré
collage  collage
sympathize  sympathiser
neglected  négligé
militarily  militairement
biotech  biotechnologies
(iris)  (iris)
richly  richement
imperialism  impérialisme
backseat  banquette arrière
stillness  immobilité
canister  boîte
ferry  traversier
fraudulent  frauduleux
garnish  garnir
onslaught  assaut
stroll  flâner
relational  relationnel
bedding  literie
realistically  de façon réaliste
pastime  passe-temps
budge  bouger
submerge  submerger
foul  faute
usable  utilisable
antioxidant  antioxydant
homecoming  retour à la maison
peacekeeper  casque bleu
incorrectly  incorrectement
forage  fourrage
blah  blabla
institutionalize  institutionnaliser
illumination  éclairage
showroom  salle d'exposition
dated  daté
blister  cloque
hindsight  sagesse rétrospective
imposition  imposition
sliver  mèche
saturate  saturer
tangle  enchevêtrement
thorn  épine
uniformly  uniformément
discreet  discret
pebble  galet
salute  saluer
whereabouts  où
shrinking  contraction
raging  rage
partisan  partisan
rebellious  rebelle
swivel  pivot
bookshelf  étagère à livres
divergent  divergent
arabian  arabe
ignition  allumage
jut  saillie
sputter  cracher
community-based  communautaire
(grandma)  (grand-mère)
inward  vers l'intérieur
quarrel  querelle
certain  certain
throttle  manette de gaz
methane  méthane
dementia  démence
newsroom  rédaction
woodland  des bois
cop  flic
mentor  mentor
hitch  attelage
binary  binaire
gaping  béant
topping  garniture
restored  restauré
allusion  allusion
bulldozer  bulldozer
sprout  germer
fad  mode
homogeneous  homogène
perjury  parjure
heady  capiteux
repel  repousser
murderous  meurtrier
lag  décalage
condone  fermer les yeux sur
blackout  coupure électrique
iced  glacé
shame  la honte
ferocious  féroce
rehabilitate  réhabiliter
profitability  rentabilité
subdued  tamisé
gulp  gorgée
sociological  sociologique
cashier  la caissière
flair  flair
handcuff  passer les menottes
bloated  gonflé
pertaining  se rapportant
pricey  cher
gloss  brillant
espionage  espionnage
headset  casque
seismic  sismique
diet  diète
spree  fête
speaking  parlant
infinity  infini
wildflower  fleur sauvage
blossom  fleur
giddy  étourdi
delicacy  délicatesse
swirl  tourbillon
dock  dock
gossip  potins
bogus  faux
inland  intérieur
prenatal  prénatal
titanium  titane
contemplation  contemplation
delve  creuser
frigid  froid
further  plus loin
itinerary  itinéraire
ethos  ethos
flipping  retourner
puree  purée
nibble  grignoter
ghostly  fantomatique
insistent  insistant
stylist  styliste
sob  sanglot
afloat  à flot
economical  économique
adamant  catégorique
gush  jet
overrun  envahi
boycott  boycotter
fella  gars
composite  composite
mini  miniature
convent  couvent
rationality  rationalité
riding  équitation
high-rise  de grande hauteur
graphite  graphite
disturbed  perturbé
jig  gigue
full-scale  grandeur nature
imaginable  imaginable
unpublished  inédit
galley  galère
covenant  engagement
expulsion  expulsion
hepatitis  hépatite
foul  faute
esteem  estime
dichotomy  dichotomie
cross-cultural  interculturel
barricade  barricade
masculinity  masculinité
ecologist  écologiste
madden  fou
academia  milieu universitaire
bog  tourbière
dwarf  nain
subversive  subversif
deduct  déduire
croatian  croate
tinker  bricoler
troll  troll
concerted  concerté
quartet  quatuor
build  construire
dummy  factice
truthful  véridique
landslide  glissement de terrain
wrestler  lutteur
fieldwork  travail de terrain
taint  entacher
sled  traîneau
contextual  contextuel
tandem  tandem
astonishment  étonnement
trample  piétiner
incorporation  incorporation
improperly  indûment
timid  timide
destabilize  déstabiliser
ambush  embuscade
(vice)  (vice)
borrowing  emprunt
taboo  tabou
edgy  nerveux
wink  clin d'œil
undocumented  sans papiers
penalize  pénaliser
rut  rut
button  bouton
symposium  symposium
upstream  en amont
